id,user_id,name,location,settings,dimensions,created_at,public_token,public_share_enabled,stages,total_estimated_revenue,status,template_id,updated_at
1d0e861a-c3e5-4434-ba25-1cc7fcd6ca4f,,Giroc,Strada Versului 5,"{""tva"": 21, ""regie"": 14, ""profit"": 20, ""taxe_manopera"": 2.25}",{},2026-03-22 18:42:32.130259+00,f59c4691-6a96-4190-ba20-8c41a420aa8c,false,"[""Fundație"", ""Structură"", ""Zidărie"", ""Acoperiș"", ""Instalații"", ""Finisaje""]",500000.00,active,,2026-03-22 18:42:32.130259+00
4cf36d5c-8e3e-4956-b702-cdca0229a4a6,,Vila Sacalaz,"Sacalaz ","{""tva"": 21, ""regie"": 10, ""profit"": 5, ""taxe_manopera"": 2.25}","{""width"": 10, ""height"": 2.7, ""length"": 12, ""slab_thickness"": 0.15, ""wall_thickness"": 0.3, ""foundation_depth"": 0.8, ""foundation_width"": 0.6}",2026-03-18 04:54:10.25193+00,77fff3e5-bbf6-4f87-aac2-daa7835cb0b7,false,[],0.00,active,,2026-03-21 22:48:19.808426+00
c46ea720-a8ad-447e-bead-9fefdfe9afde,,Test Proiect Fix,Timisoara,"{""tva"": 21, ""regie"": 10, ""profit"": 5, ""taxe_manopera"": 2.25}",{},2026-03-21 22:57:05.10043+00,a09fd7ad-e292-4798-9508-79752d461a2b,false,"[""Organizare Șantier"", ""Fundație"", ""Structură"", ""Zidărie"", ""Instalații"", ""Finisaje Interioare"", ""Finisaje Exterioare""]",89000.00,active,,2026-03-21 22:57:05.10043+00
d9724775-aa1b-4ab1-b20b-ebe6a7ebfaec,,Casa 1,Sacalaz,"{""tva"": 21, ""regie"": 10, ""profit"": 10, ""taxe_manopera"": 2.25}","{""width"": 10, ""height"": 3, ""length"": 10, ""slab_thickness"": 0.2, ""wall_thickness"": 0.3, ""foundation_depth"": 0.8, ""foundation_width"": 0.6}",2026-03-18 20:50:29.186442+00,44b9a035-dd5e-46b2-b2bd-364ec590983f,false,[],0.00,active,,2026-03-21 22:48:19.808426+00
